Hot-MIN 	 Hot-MAX 	 H-RIPPLE 	 LATITUDE,deg 	 TILTANGLE,deg
5.873716 	 11.382895 	 5.509179 	 27.650000 	 	 0.000000
6.040161 	 11.342882 	 5.302721 	 27.650000 	 	 1.000000
6.204766 	 11.300226 	 5.095460 	 27.650000 	 	 2.000000
6.367482 	 11.254965 	 4.887483 	 27.650000 	 	 3.000000
6.528257 	 11.207082 	 4.678824 	 27.650000 	 	 4.000000
6.687044 	 11.156636 	 4.469591 	 27.650000 	 	 5.000000
6.843794 	 11.103733 	 4.259939 	 27.650000 	 	 6.000000
6.998460 	 11.048542 	 4.050082 	 27.650000 	 	 7.000000
7.150994 	 10.991462 	 3.840468 	 27.650000 	 	 8.000000
7.301349 	 10.933349 	 3.632001 	 27.650000 	 	 9.000000
7.449480 	 10.875778 	 3.426298 	 27.650000 	 	 10.000000
7.595342 	 10.820621 	 3.225278 	 27.650000 	 	 11.000000
7.738891 	 10.769223 	 3.030333 	 27.650000 	 	 12.000000
7.880082 	 10.722262 	 2.842180 	 27.650000 	 	 13.000000
8.018873 	 10.679992 	 2.661119 	 27.650000 	 	 14.000000
8.155221 	 10.642517 	 2.487296 	 27.650000 	 	 15.000000
8.289085 	 10.609834 	 2.320749 	 27.650000 	 	 16.000000
8.420424 	 10.581816 	 2.161392 	 27.650000 	 	 17.000000
8.549198 	 10.558534 	 2.009335 	 27.650000 	 	 18.000000
8.675368 	 10.539832 	 1.864464 	 27.650000 	 	 19.000000
8.798896 	 10.525658 	 1.726762 	 27.650000 	 	 20.000000
8.919727 	 10.515960 	 1.596233 	 27.650000 	 	 21.000000
9.037817 	 10.510685 	 1.472868 	 27.650000 	 	 22.000000
9.153154 	 10.509876 	 1.356722 	 27.650000 	 	 23.000000
9.265703 	 10.513466 	 1.247763 	 27.650000 	 	 24.000000
9.375429 	 10.521340 	 1.145911 	 27.650000 	 	 25.000000
9.468777 	 10.532635 	 1.063858 	 27.650000 	 	 26.000000
9.361023 	 10.546657 	 1.185634 	 27.650000 	 	 27.000000
9.250951 	 10.563178 	 1.312228 	 27.650000 	 	 28.000000
9.138592 	 10.582043 	 1.443451 	 27.650000 	 	 29.000000
9.023982 	 10.602928 	 1.578946 	 27.650000 	 	 30.000000
